"","comparison.shop","bills.on.time","monthly.expense.record","within.budget","credit.infull","maxout.creditcard","minimum.on.loan","maintain.emergency.fund","save.money.paycheck","save.longterm.goal","save.retirement","bought.stock","health.insurance","property.insurance","life.insurance","smartphone.warenty","OverallFMS","FMS_F1.saving","FMS_F2.insurance","FMS_F3.budget","FMS_F4.credit","IPAddress","vape","smoke","alcohol","alcohol.age","caffeine","marijuana","gamble","smoke.age","passed.out.from.drinking","register.vote","attention.to.politics","senate","donate.campaign","music.tax","green.tax","ideology","vote","vote.early","arrested","speedingtickets","caraccident","wealth.comparison","sustain.self","income.saved.percent","creditcard.late","payday.lending","sustainable.goods","actual.saved","actual.debt","prescription","fastfood","dentalstatus","exercise","vaccination","washinghands","television","high.adreneline","physical.fight","luxurygoods","shopping.anxiety","check.online","had.sex","sex.age","adultry","multple.partners","inebriated.sex","age","marital.status","have.children","politcal.affiliation","age.firstchild","weight","employmentstatus","hoseholdincome","expected.householdincome","english.native","Minutes_to_Complete","bmi","SingleParent","bat.ball","widgets","lilypads","CRT","fighter","political.knowledge","electronic.smoker","smoker","never.smoked","never.drank","drinker","marijuana.user","gambler","internet.user","speedingticket.had","car.accident.had","gender","othergender","No.Sex.Answer","Single","Married","Widowed","Divorced","Separated","Democrat","Republican","Independent","Other.Political.Party","No.Political.Party","Employed","Self.Employed","Seeking.Work","Not.Seeking.Work","Homemaker","Student","Military","Retired","Unable.to.Work","white","black","asian","hispanic","ss.beta","ss.delta","tds.beta","tds.delta","sl.beta","sl.delta","tdl.beta","tdl.delta","ssp.consistent","ssp.indifference","ssf.consistent","ssf.indifference","slf.consistent","slf.indifference","slp.consistent","slp.indifference","tdsp.consistent","tdsp.indifference","tdlp.consistent","tdlp.indifference","tdsf.consistent","tdsf.indifference","tdlf.consistent","tdlf.indifference","average","ssp.indifference.consistent","ssf.indifference.consistent","slf.indifference.consistent","slp.indifference.consistent","tdsp.indifference.consistent","tdlp.indifference.consistent","tdsf.indifference.consistent","tdlf.indifference.consistent","average.consistent","ssp.k","ssp.exponential","ssf.k","ssf.exponential","slf.k","slf.exponential","slp.k","slp.exponential","tdsp.k","tdsp.exponential","tdlp.k","tdlp.exponential","tdsf.k","tdsf.exponential","tdlf.k","tdlf.exponential","avg.exponential","avg.k","Patience","s.Patience","td.Patience","Confused","nostalgic","interested","happy","alert","stressed","pleasant","irritable","hostile","depressed","passive","jittery","upset","active","at.ease","afraid","wistful","enthusiastic","sad","guilty","distressed","proud","quiet","attentive","strong","amazed","lonely","excited","relaxed","elated","worried","inspired","thankful","terrified","ashamed","gloomy","determined","drowsy","irritated","scared","shy","powerful","nervous","Emo_Neg","Emo_Pos","Emo_EBDMS","Emo_LR","Emo_SHPS","F_fear","F_hostile","F_guilt","F_sad","F_jovial","F_assured","F_attentive","F_shy","F_fatigue","F_serene","F_surprise","F_power","F_gratitude","F_nostalgia","F_anxiety","F_pride","F_depressed","F_stressed","F_anger","F_happy","F_fearful","F_disgust"
"1",3,2,1,2,1,5,2,1,1,1,1,1,1,1,1,0,1.5,1,1,2,2.66666666666667,"100.36.53.170",1,1,4,17,2,2,2,NA,1,1,1,2,2,2,1,-0.33,1,1,2,0,0,5,2,8,5,2,2,2,8,2,1,1,3,2,85,2,1,0,1,1,10,1,1,2,2,1,24,1,2,1,NA,156,3,3,3,1,9.05,21.1571691661902,0,1,1,1,3,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.942286581535894,1.10526315789474,0.926699064008951,0.92,0.9700701154458,1.19047619047619,0.942286581535894,1,0.7,1,0.7,1,0.833333333333333,1,0.766666666666667,1,0.7,1,0.833333333333333,1,0.633333333333333,1,0.7,0.866666666666667,0.7,0.7,0.833333333333333,0.766666666666667,0.7,0.833333333333333,0.633333333333333,0.7,0.733333333333333,0.0714285714285714,0.0612482652252517,0.0769230769230769,0.0522740281413674,0.0344827586206897,0.0263880962570395,0.0507246376811594,0.0452790266829615,0.0714285714285714,0.0612482652252517,0.0333333333333333,0.0308533208864445,0.106796116504854,0.0674271287841435,0.0769230769230769,0.0522740281413674,0.0496240199179784,0.0652550178554167,0.71875,0.3671875,0.3515625,0,1,1,4,3,1,4,1,1,1,3,1,1,1,4,1,1,1,1,1,1,1,3,3,1,1,1,1,4,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1.4,25,22,38,1.004353939,0.996465466,1.033351052,1.091129759,1.925779597,1.212623356,2.365182756,1.064836402,1.91221587,3.920438659,1.078787586,1.080177915,2.200419002,1.138023479,1.802580486,1.581161041,1.20409558,1,1.065950591,3.901675653,1.007762937,0.998079243
"2",4,4,4,4,3,5,4,4,4,4,4,1,4,4,4,1,3.625,3.4,4,4,4,"100.37.191.3",7,7,2,22,5,1,1,19,0,1,2,1,1,1,1,-0.33,1,1,2,0,0,3,12,28,1,2,1,6,3,1,1,1,5,1,100,3,2,0,2,1,5,1,1,2,2,2,29,1,2,1,NA,110,1,3,3,1,14.4666666666667,21.4826640764393,0,1,1,1,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.994365674076519,1,0.994365674076519,1,0.994365674076519,1,0.994365674076519,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,0.983333333333333,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.00574712643678161,0.00566625143080657,0.00578034682080925,0.00485482547267591,0.00578034682080925,0.00485482547267591,0.00574712643678161,0.00566625143080657,0.00574712643678161,0.00566625143080657,0.00574712643678161,0.00566625143080657,0.00578034682080925,0.00485482547267591,0.00578034682080925,0.00485482547267591,0.00526053845174124,0.00576373662879543,0.9375,0.46875,0.46875,0,1,4,4,4,1,4,1,1,1,2,1,1,4,4,1,3,3,1,1,1,3,2,5,3,3,1,3,4,3,1,3,5,1,1,1,4,1,1,1,1,3,1,1,3.6,32,21,42,1.004353939,1.013465466,1.033351052,1.091129759,3.210649597,2.627133356,4.223762756,1.126456402,1.23604587,4.014828659,2.148007586,2.458957915,4.425569002,1.132553479,1.603920486,2.379571041,1.10043558,1,1.065950591,3.901675653,1.007762937,0.998079243
"3",5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,0,3.9375,3.4,3.66666666666667,5,5,"104.176.6.160",1,1,1,0,2,1,1,NA,NA,1,2,2,2,2,2,-0.66,1,2,2,0,0,4,12,40,1,2,2,7,1,1,1,1,5,2,100,3,1,10,2,1,1,1,1,2,2,2,31,1,2,5,NA,165,2,4,4,1,17.9333333333333,23.6747726556678,0,1,1,1,3,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.931034482758621,0.994365674076519,1,0.98259319385269,1.07407407407407,0.98259319385269,1,0.98259319385269,1,0.9,1,0.966666666666667,1,0.9,1,0.966666666666667,1,0.9,1,0.9,1,0.9,1,0.9,0.958333333333333,0.9,0.966666666666667,0.9,0.966666666666667,0.9,0.9,0.9,0.9,0.916666666666667,0.0185185185185185,0.0177151706893666,0.00578034682080925,0.00485482547267591,0.0188679245283019,0.0151653465554913,0.00574712643678161,0.00566625143080657,0.0185185185185185,0.0177151706893666,0.0185185185185185,0.0177151706893666,0.0188679245283019,0.0151653465554913,0.0188679245283019,0.0151653465554913,0.013645328579757,0.0154608502997565,0.890625,0.453125,0.4375,0,1,2,2,4,1,2,1,1,1,3,1,1,2,4,1,1,1,1,1,1,1,2,4,1,1,1,1,4,1,2,2,2,1,1,2,4,2,1,1,1,1,1,1,2.2,24,29,46,1.005403939,0.996465466,1.135381052,1.238629759,1.457739597,1.267113356,3.804382756,1.073506402,1.98697587,3.872548659,1.078787586,1.093407915,2.038579002,1.138023479,2.137020486,1.554171041,1.32742558,1,1.074580591,2.298735653,1.007762937,0.998079243
"4",3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2.9375,3,3,3.5,3,"104.3.176.117",1,1,1,21,1,1,1,NA,0,1,2,2,2,1,2,-0.66,1,2,2,0,0,4,8,15,1,2,2,4,6,1,1,1,5,2,100,2,1,0,1,1,5,3,NA,NA,NA,NA,25,1,2,1,NA,145,1,2,2,1,9.88333333333333,19.6653174942152,0,0,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.784626184975545,3.28571428571428,0.784626184975545,1.0952380952381,0.942286581535894,1,0.95668235415892,1,0.233333333333333,1,0.233333333333333,1,0.7,1,0.766666666666667,1,0.766666666666667,1,0.766666666666667,1,0.233333333333333,1,0.766666666666667,0.779166666666667,0.233333333333333,0.233333333333333,0.7,0.766666666666667,0.766666666666667,0.766666666666667,0.233333333333333,0.766666666666667,0.558333333333333,0.547619047619048,0.274492260325429,1.21052631578947,0.231087808988287,0.0769230769230769,0.0522740281413674,0.0507246376811594,0.0452790266829615,0.0507246376811594,0.0452790266829615,0.0507246376811594,0.0452790266829615,0.865443652117383,0.231087808988287,0.0534351145038168,0.0386871865232354,0.120433271626936,0.406400472958546,0.5546875,0.2421875,0.3125,0,1,3,3,1,1,2,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,3,4,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,27,30,42,1.004353939,0.996465466,1.033351052,1.094969759,1.648569597,1.242243356,2.793382756,1.064836402,1.31080587,3.075778659,1.078787586,1.080177915,1.373709002,1.127083479,2.224000486,1.514691041,1.08714558,1,1.065950591,2.624355653,1.007762937,0.998079243
"5",4,3,3,3,2,3,3,3,3,3,3,2,3,3,1,0,2.625,2.8,2.33333333333333,3.25,2.66666666666667,"107.145.113.42",1,4,3,16,6,1,1,16,2,1,3,2,2,2,2,0,1,2,2,0,0,3,6,15,1,2,2,6,3,2,1,3,1,2,80,2,1,0,1,1,2,1,1,2,1,2,35,4,1,6,21,310,1,4,4,1,20.65,38.7469141160505,1,1,1,1,3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.10526315789474,0.926699064008951,NA,NA,1.10526315789474,0.926699064008951,NA,NA,1,0.7,1,0.633333333333333,1,0.633333333333333,1,0.7,0,0.000333333333333333,0,3.33333333333333e-05,1,0.366666666666667,1,0.5,0.59585625,0.7,0.633333333333333,0.633333333333333,0.7,NA,NA,0.366666666666667,0.5,NA,0.0714285714285714,0.0612482652252517,0.106796116504854,0.0674271287841435,0.106796116504854,0.0674271287841435,0.0714285714285714,0.0612482652252517,NA,NA,NA,NA,0.404255319148936,0.154109294293947,0.2,0.104089513673812,0.085924932664425,0.160117449169298,0.6171875,0.328125,0.2890625,1,1,4,4,4,2,4,2,1,1,2,1,1,1,4,1,1,2,1,1,1,1,1,4,1,1,1,2,5,1,1,2,3,1,1,1,4,1,2,1,1,2,1,1.1,2.5,25,28,43,1.033653939,1.197875466,1.099171052,1.109989759,2.370069597,1.401083356,3.870722756,1.103286402,1.29616587,4.427598659,1.127727586,1.497347915,2.971299002,1.132553479,1.691980486,1.841081041,1.35893558,2,1.593080591,3.922215653,1.034532937,1.039249243
"6",3,2,5,3,5,5,5,3,5,1,5,2,3,4,3,1,3.4375,3.2,3.33333333333333,3.25,5,"108.171.130.162",4,1,3,16,5,2,1,NA,0,1,2,2,2,1,2,0,1,1,2,0,1,2,10,15,1,2,2,9,5,1,2,1,4,2,100,3,3,2,3,2,1,1,1,2,2,2,35,2,1,4,33,215,1,7,7,1,8.03333333333333,29.9860813964834,0,1,1,1,3,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0526315789473684,0.926699064008951,1,0.994365674076519,0.384615384615384,0.869902040586445,1,0.994365674076519,1,0.0333333333333333,1,0.633333333333333,1,0.433333333333333,1,0.166666666666667,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,0.820833333333333,0.0333333333333333,0.633333333333333,0.433333333333333,0.166666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.641666666666667,4.83333333333333,0.762734383267615,0.106796116504854,0.0674271287841435,0.278688524590164,0.126892679096592,0.833333333333333,0.348006154597278,0.00574712643678161,0.00566625143080657,0.00574712643678161,0.00566625143080657,0.00578034682080925,0.00485482547267591,0.00578034682080925,0.00485482547267591,0.165762812444074,0.759400781784608,0.6328125,0.1640625,0.46875,0,2,2,1,1,4,2,5,5,3,3,2,2,4,2,4,1,2,4,5,3,3,3,5,1,5,2,5,3,2,3,2,3,1,5,4,3,1,4,4,5,4,5,4,2.8,35,26,33,3.635983939,4.226365466,4.248101052,2.999439759,2.336909597,2.124363356,3.127212756,4.099156402,1.68321587,2.729718659,3.875277586,2.798437915,2.714599002,2.605033479,3.423400486,2.483251041,3.53331558,4,3.952980591,1.755405653,3.205632937,3.453659243
"7",5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,0,4.4375,5,5,5,3.66666666666667,"108.226.178.119",1,1,3,15,5,1,5,NA,10,1,2,2,2,2,2,0.66,2,2,2,0,0,3,12,16,1,2,2,7,5,1,1,3,2,2,93,3,2,0,2,2,5,1,2,2,2,1,25,2,2,4,NA,190,1,6,6,1,13.1833333333333,28.8890811345637,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.994365674076519,1,0.98259319385269,1,0.994365674076519,1,0.98259319385269,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,0.9,1,0.9,1,0.9,1,0.9,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.9,0.9,0.9,0.9,0.933333333333333,0.00574712643678161,0.00566625143080657,0.00578034682080925,0.00485482547267591,0.00578034682080925,0.00485482547267591,0.00574712643678161,0.00566625143080657,0.0185185185185185,0.0177151706893666,0.0185185185185185,0.0177151706893666,0.0188679245283019,0.0151653465554913,0.0188679245283019,0.0151653465554913,0.0108503985370851,0.0122284790761028,0.90625,0.46875,0.4375,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,24,42,1.004353939,0.996465466,1.033351052,1.096889759,1.298519597,1.212623356,1.265082756,1.064836402,1.34818587,1.301578659,1.078787586,1.080177915,1.194719002,1.127083479,2.864010486,1.309551041,1.09944558,1,1.065950591,1.664825653,1.007762937,0.998079243
"8",4,3,2,3,2,5,4,1,1,1,1,1,1,4,1,0,2.125,1,2,3,3.66666666666667,"108.254.224.255",1,1,2,13,6,6,1,NA,0,2,2,2,2,1,1,0,NA,NA,2,0,1,3,0,0,1,2,2,1,2,2,1,2,2,2,70,2,1,0,1,1,17.1064921751313,1,2,1,1,1,28,1,2,5,NA,170,2,1,1,1,8.11666666666667,28.2891671108786,0,1,1,1,3,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.931034482758621,0.994365674076519,1,0.98259319385269,0.931034482758621,0.994365674076519,0.931034482758621,0.994365674076519,1,0.9,1,0.966666666666667,1,0.966666666666667,1,0.9,1,0.9,1,0.9,1,0.9,1,0.966666666666667,0.9625,0.9,0.966666666666667,0.966666666666667,0.9,0.9,0.9,0.9,0.966666666666667,0.925,0.0185185185185185,0.0177151706893666,0.00578034682080925,0.00485482547267591,0.00578034682080925,0.00485482547267591,0.0185185185185185,0.0177151706893666,0.0185185185185185,0.0177151706893666,0.0185185185185185,0.0177151706893666,0.0188679245283019,0.0151653465554913,0.00578034682080925,0.00485482547267591,0.0125738132163732,0.0137853798831005,0.8984375,0.453125,0.4453125,0,2,3,1,3,5,1,3,1,4,2,3,3,1,1,1,1,1,4,1,3,1,4,4,1,1,1,1,1,1,4,1,4,1,1,4,4,3,2,1,1,1,4,2.1,2,26,27,42,2.120203939,1.687065466,1.784031052,2.711689759,1.116679597,1.257053356,3.635472756,1.440816402,2.98528587,1.414938659,1.118987586,1.080177915,3.281889002,2.134003479,3.744130486,1.327271041,2.80096558,5,1.924830591,1.260175653,1.729632937,1.401699243
"9",3,5,3,4,3,5,3,4,4,4,5,3,4,4,3,0,3.5625,4,3.66666666666667,3.75,3.66666666666667,"12.12.130.164",1,1,4,18,5,2,2,NA,10,1,2,2,2,1,1,0.66,1,2,2,0,0,2,3,8,1,2,1,6,8,2,1,1,5,2,98,3,1,3,2,2,4,1,2,2,2,1,35,2,2,4,NA,195,1,5,5,1,16.05,27.9792767748801,0,0,1,1,2,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.926699064008951,1,0.926699064008951,0.04,0.9700701154458,2.07692307692308,0.869902040586445,1,0.633333333333333,1,0.633333333333333,1,0.833333333333333,1,0.0333333333333333,1,0.633333333333333,1,0.9,1,0.633333333333333,1,0.433333333333333,0.795833333333333,0.633333333333333,0.633333333333333,0.833333333333333,0.0333333333333333,0.633333333333333,0.9,0.633333333333333,0.433333333333333,0.591666666666667,0.0964912280701754,0.0790989640951454,0.106796116504854,0.0674271287841435,0.0344827586206897,0.0263880962570395,4.83333333333333,0.762734383267615,0.0964912280701754,0.0790989640951454,0.0185185185185185,0.0177151706893666,0.106796116504854,0.0674271287841435,0.278688524590164,0.126892679096592,0.153347814383649,0.696449728026596,0.5859375,0.265625,0.3203125,0,3,3,3,4,1,3,1,1,1,1,1,1,3,4,1,1,3,1,1,1,2,3,4,3,1,1,2,4,2,1,2,2,1,1,1,4,1,1,1,1,2,1,1,3,27,27,44,1.004353939,1.002585466,1.033351052,1.093049759,2.552949597,2.255983356,3.830352756,1.064836402,1.27342587,3.928558659,1.208127586,1.983647915,2.258019002,2.394463479,1.857590486,2.037311041,1.08099558,1,1.096730591,3.100205653,1.017482937,0.998079243
"10",3,2,3,4,4,3,2,2,3,2,3,5,4,3,3,0,2.875,3,3.33333333333333,3,3,"151.213.138.190",3,2,3,17,3,2,2,17,1,1,2,1,2,2,2,0,1,1,2,0,0,3,20264.6247055342,62,3,1,1,5,6,2,1,3,3,1,44,3,4,0,4,2,3,2,NA,NA,NA,NA,25,1,1,1,23,245,1,4,5,1,24.95,31.4557900846992,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.454545454545455,0.84601599059335,1.11764705882353,0.909678529410693,0.2,0.741836375590402,2,0.890898718140339,1,0.166666666666667,1,0.366666666666667,1,0.166666666666667,1,0.0333333333333333,1,0.633333333333333,1,1,1,0.566666666666667,1,0.5,0.714583333333333,0.166666666666667,0.366666666666667,0.166666666666667,0.0333333333333333,0.633333333333333,1,0.566666666666667,0.5,0.429166666666667,0.833333333333333,0.348006154597278,0.404255319148936,0.154109294293947,2.5181487942522,0.291708342090747,4.83333333333333,0.762734383267615,0.0964912280701754,0.0790989640951454,0,0,0.146067415730337,0.0845233446734155,0.2,0.104089513673812,0.228033749586495,1.43918507870201,0.4375,0.1015625,0.3359375,0,3,4,4,5,4,3,3,4,4,2,4,4,4,4,3,2,4,2,4,4,3,5,3,2,3,3,3,4,3,3,3,2,4,3,4,2,4,3,3,4,3,4,3.6,3.3,28,24,45,3.436833939,3.416295466,3.236511052,2.948649759,3.262159597,2.359633356,3.201422756,3.331626402,3.62353587,3.909588659,2.643267586,2.483097915,2.234229002,3.002823479,2.981790486,2.676661041,3.14769558,4,3.178790591,3.502535653,2.672192937,3.389069243
